,,,
,,,
,,,
,,,
,,,Rows
Brazil,41000,Mexico,231
Colombia,14300,Guatemala,156
Ethiopia,7350,Colombia,150
Honduras,6500,Brazil,105
Peru,4500,US-Hawaii,73
Mexico,4350,Taiwan,70
Guatemala,3500,Honduras,50
China,2300,CostaRica,46
Nicaragua,2300,Tanzania,37
India,1485,Ethiopia,30
Viet Nam,1400,Uganda,24
Costa Rica,1375,Kenya,23
Indonesia,1250,Thailand,20
Papua New Guinea,850,ElSalvador,19
Uganda,750,Indonesia,18
"Tanzania, United Republic Of",650,Nicaragua,18
El Salvador,650,China,16
Kenya,650,Other,14
Venezuela,600,US,12
Rwanda,300,Malawi,11
Burundi,200,Myanmar,8
Ecuador,155,Vietnam,7
Haiti,125,Haiti,6
Dominican Republic,125,Phillipines,5
Cuba,100,Panama,4
Panama,100,,
Yemen,100,,
Bolivia,85,,
"Congo, The Democratic Republic Of The",75,,
Cameroon,50,,
United States,35,,
Philippines,25,,
Madagascar,25,,
Malawi,10,,
Jamaica,10,,
Jordan,0,,
Japan,0,,
"Iran, Islamic Republic Of",0,,
Croatia,0,,
Egypt,0,,
Guyana,0,,
EU-27,0,,
Gabon,0,,
Ghana,0,,
Guinea,0,,
Equatorial Guinea,0,,
Canada,0,,
Algeria,0,,
Central African Republic,0,,
Congo,0,,
Switzerland,0,,
Côte D'ivoire,0,,
Chile,0,,
Benin,0,,
Angola,0,,
Argentina,0,,
Australia,0,,
Norway,0,,
New Zealand,0,,
Paraguay,0,,
Serbia,0,,
Russian Federation,0,,
"Korea, Republic Of",0,,
Kazakhstan,0,,
Lao People's Democratic Republic,0,,
Sri Lanka,0,,
Liberia,0,,
Morocco,0,,
Malaysia,0,,
New Caledonia,0,,
Nigeria,0,,
Ukraine,0,,
South Africa,0,,
Zambia,0,,
Zimbabwe,0,,
Singapore,0,,
Sierra Leone,0,,
Togo,0,,
Thailand,0,,
Turkey,0,,
Trinidad and Tobago,0,,
"Taiwan, Province Of China",0,,
